QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Data Science,,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,754,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.15,,,,
,,,,H,0.15,,,,
Top 70 Universities - Data Science & AI,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score,
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,97.2,99,94.1,98.1,97.4,
2,2  ,Carnegie Mellon University,United States,100,84.8,96.5,100,94.9,
3,3  ,"University of California, Berkeley (UCB)",United States,90,90,100,98,92.7,
4,4  ,University of Oxford,United Kingdom,84.7,95.4,98,94.3,91.3,
5,5  ,Harvard University,United States,80.1,97.9,90.3,90.3,88.5,
6,11  ,National University of Singapore (NUS),Singapore,73.9,100,91.3,95,87.5,
7,,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,84.3,82.3,93.3,93.5,86.4,
8,12  ,"Nanyang Technological University, Singapore (NTU)",Singapore,70.9,97.4,89.9,95.8,85.4,
9,6  ,University of Toronto,Canada,73.3,84.2,96.1,88.4,82.3,
10,,The Hong Kong University of Science and Technology,Hong Kong SAR,68.8,90.4,92.6,90,82,
11,9=,EPFL,Switzerland,76.3,83.6,88.2,84.8,81.6,
12,7  ,University of Washington,United States,80.5,69.9,96.3,88.9,81,
13,9=,Georgia Institute of Technology,United States,76.2,77.4,89.1,91,80.7,
14,14  ,University of Illinois at Urbana-Champaign,United States,79.2,75,88.1,87.4,80.5,
15,8  ,Princeton University,United States,74.7,79.3,92.9,84,80.2,
16,13  ,Cornell University,United States,71,76.6,98.4,88,79.3,
17,,New York University (NYU),United States,75.4,72,92.2,85.8,78.5,
18,17  ,UCL,United Kingdom,74.2,73.5,90.1,86.9,78.3,
19,16  ,Imperial College London,United Kingdom,66.2,80.7,88.6,88.8,77.3,
=20,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,56.2,85.5,97,95.5,77,
20,,University of Pennsylvania,United States,69.9,76.6,88.2,85.2,77,
=21,18  ,California Institute of Technology (Caltech),United States,67.2,84.5,84.4,78,76.6,
=21,15  ,The University of Edinburgh,United Kingdom,71,73.1,89.1,86.1,76.6,
23,,Politecnico di Milano,Italy,71.7,77.3,79.5,79.3,75.7,
24,,Seoul National University,South Korea,57,91.8,84.3,84.4,75.6,1.0
25,,The University of Hong Kong,Hong Kong SAR,56.1,90.6,88,83.1,75.3,
26,,The University of Melbourne,Australia,60.5,88.5,82.4,78.9,74.9,
27,,Johns Hopkins University,United States,64.9,73.1,92.4,86.7,74.8,
28,,Pohang University of Science And Technology (POSTECH),South Korea,62,86.2,85.4,71.8,74.2,
29,,Universiti Malaya (UM),Malaysia,52.9,92.3,89.2,78.9,74.1,
30,,Indian Institute of Technology Bombay (IITB),India,67.7,86.6,70.6,68.9,74,
31,,"University of California, San Diego (UCSD)",United States,68.2,65.9,90.5,86.2,73.6,1.0
32,,The Hong Kong Polytechnic University,Hong Kong SAR,59.9,77.4,89.2,86.5,73.5,
33,,"University of Maryland, College Park",United States,72.7,58.1,89.4,89.8,73.4,
34,,Monash University,Australia,55.3,87.2,85.5,80.5,73.2,
=35,,Indian Institute of Technology Delhi (IITD),India,63.8,84,76,68.9,72.5,
35,24,Technical University of Munich,Germany,64.4,70.9,83,83.8,72.1,
35,,University of Chicago,United States,62.9,75.3,87,76.2,72.2,
=36,,Indian Institute of Technology Kanpur (IITK),India,63.5,79.7,78.3,72.9,72,
=36,,Tongji University,China (Mainland),76,57.8,81.1,80.7,72,
38,,Shanghai Jiao Tong University,China (Mainland),52.9,79.3,84.6,95.3,71.9,
39,,City University of Hong Kong,Hong Kong SAR,54.5,79.7,88,85.7,71.8,
=40,,University of Waterloo,Canada,62.7,73.3,83.2,80.7,71.7,
40,,University of Technology Sydney,Australia,57,69.5,91.5,92.2,71.2,
41,,Aalto University,Finland,77.4,51.4,85.6,79.5,71.1,
42,19  ,University of British Columbia,Canada,57.8,74.6,86.4,81.8,70.7,
43,,The University of Sydney,Australia,47.3,81.1,91.4,90.6,70.6,
44,,Indian Institute of Technology Kharagpur (IIT-KGP),India,62.5,78.2,74.9,69.9,70.2,
45,,Indian Institute of Science,India,60.4,72.9,81.3,78.2,70,
=46,,Harbin Institute of Technology,China (Mainland),49.3,76.8,82.7,92.4,69,
=46,,Sapienza University of Rome,Italy,60.7,70.3,79.3,78,69,
48,,Macquarie University,Australia,62,65.6,85.4,77.4,68.9,
=49,,Fudan University,China (Mainland),51.9,74,85.2,87.1,68.8,
=49,,The Australian National University,Australia,47.9,78.9,90.2,83.1,68.8,
51-70,,Brown University,United States,49.9,68.2,92.7,76.7,,
51-70,,Indian Institute of Technology Guwahati (IITG),India,60.7,70,72.9,62.2,,
51-70,,ITMO University,Russia,60.2,75.5,68.7,66.4,,
51-70,,King Fahd University of Petroleum & Minerals,Saudi Arabia,52.2,85.2,75.9,64,,
51-70,,King's College London,United Kingdom,55.6,69.8,84.9,77.6,,
51-70,,KTH Royal Institute of Technology ,Sweden,56.1,64,81.6,78.5,,
51-70,,Kyoto University,Japan,50.1,80,77.9,73.7,,
51-70,,Lancaster University,United Kingdom,62.3,60.9,85.8,79.9,,
51-70,,Michigan State University,United States,60.3,61.6,86.9,79.7,,
51-70,,National Yang Ming Chiao Tung University,Taiwan,59.1,70.2,76.8,70.2,,
51-70,,Pennsylvania State University,United States,55.6,65.6,82.8,81.8,,
51-70,,Satbayev University,Kazakhstan,79,82,51,32.6,,
51-70,,Sorbonne University,France,49.4,72.9,81.4,80.3,,
51-70,,Taylor's University,Malaysia,48.3,80,84.8,59.7,,
51-70,,The University of New South Wales (UNSW Sydney),Australia,44.3,82,83.8,85.7,,
51-70,,Universidade de São Paulo,Brazil,50.8,76,74.2,75,,
51-70,,Université de Montréal ,Canada,56,63.4,93.4,87.4,,
51-70,,Université PSL,France,51.3,72.3,86,80.3,,
51-70,,Universiti Kebangsaan Malaysia (UKM),Malaysia,51.6,81.9,74.9,62.6,,
51-70,20  ,University of Amsterdam,Netherlands,55.4,64.6,92.1,83,,
51-70,,Wuhan University,China (Mainland),50.9,63.1,83.7,87.8,,
