Top 500 Universities - Arts & Humanities,,,,,,,,,
=273,215=,Université Sorbonne Nouvelle Paris 3,France,82.4,35.1,53.9,56.1,45,67
=273,247=,University of Aberdeen,United Kingdom,70.2,59.4,75.1,70,41.8,67
=273,212  ,Vrije Universiteit Amsterdam,Netherlands,71.4,49.1,79.9,82.5,43.6,67
=273,213=,Westfälische Wilhelms-Universität Münster ,Germany,76.2,38.6,73.9,77.1,44.4,67
=280,278=,University of East Anglia (UEA),United Kingdom,71.2,51.4,79.1,78.7,41.4,66.9
=280,261  ,University of Porto,Portugal,72.4,52,72,74.3,41.4,66.9
=282,297=,Emory University,United States,69.8,56.5,75.7,77.9,41.6,66.8
=282,401-450,Nagoya University,Japan,69.1,65.8,84.9,68.8,13.5,66.8
=282,356=,University of Bath,United Kingdom,65.7,66.1,83.2,77.1,42.7,66.8
=282,262=,University of Florida,United States,67.6,60.9,77.4,81,42.8,66.8
=286,316=,Technische Universität Berlin (TU Berlin),Germany,67.5,67.2,78.2,70,30.2,66.6
=286,289=,Universitat de Valencia,Spain,71.7,55.7,66.2,72.3,40.5,66.6
=288,336  ,California Institute of Technology (Caltech),United States,61.5,86.1,77.9,68.8,27.4,66.5
=288,243=,"Sofia University ""St. Kliment Ohridski""",Bulgaria,77,57.3,50.1,51.4,25.5,66.5
=288,254=,Università degli studi Roma Tre,Italy,77.2,45.9,63.3,64.8,27.8,66.5
=288,262=,Université Grenoble Alpes,France,70.1,54.5,74.1,75.3,45.7,66.5
=288,251=,University College Cork,Ireland,71.8,60.2,72.2,66.2,20,66.5
=288,333=,University of Huddersfield,United Kingdom,70.5,56.3,72.7,71.2,42,66.5
=294,281=,Istanbul University,Turkey,74.2,61.9,53,53.8,30.1,66.4
=294,187=,Rhode Island School of Design (RISD),United States,84.5,49.8,38.3,37.6,,66.4
=294,231=,University of Kent,United Kingdom,70.3,55.6,76.4,77.1,32.4,66.4
=294,341=,University of Waterloo,Canada,62,77.9,82.8,81,25.9,66.4
=298,,Chung-Ang University (CAU),South Korea,73.7,60,68.3,64.8,1.2,66.3
=298,262=,Dartmouth College,United States,69.3,62.3,76.7,75.3,17.4,66.3
=298,302=,Griffith University,Australia,69.2,53.8,76.4,78.7,48.7,66.3
=298,310=,Universidad de la República (Udelar),Uruguay,74.4,63.5,50.8,53.8,21.6,66.3
=302,283=, Western Sydney University,Australia,69,54.2,75.3,77.1,50.4,66.2
=302,401-450,Université Paris-Saclay,France,61.4,73.5,78.2,80.3,56,66.2
=302,310=,Universiti Putra Malaysia (UPM),Malaysia,71.2,63.7,66.1,63.3,20.8,66.2
=302,227=,University of Connecticut,United States,68.9,51.9,82.7,77.9,48.2,66.2
=306,260  ,Universidad Iberoamericana IBERO,Mexico,75.5,72,39.4,45.5,,66.1
=306,394=,Universiti Teknologi Malaysia ,Malaysia,68.5,62.5,73.9,73.3,29.3,66.1
=306,356=,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,68.7,60,72.8,71.2,42.5,66.1
=309,451-500,Hongik University ,South Korea,77.4,50.2,55.5,53.8,27.4,66
=309,,Istanbul Technical University,Turkey,65.8,76.5,68.1,63.3,27.4,66
=309,283=,Johannes Gutenberg Universität Mainz,Germany,74,40.7,72.4,76.2,46.5,66
=312,316=,Curtin University,Australia,66,59.2,83.8,83.1,39.1,65.9
=312,333=,Stellenbosch University,South Africa,67.1,56.4,69.2,68.8,79.5,65.9
=312,254=,Universidade Nova de Lisboa,Portugal,73,51.2,69.1,70,29.3,65.9
=312,277  ,University of Antwerp,Belgium,70.5,50.7,76.3,77.9,38.7,65.9
=316,330=,Dublin City University,Ireland,67.8,61.2,77.9,74.3,29.5,65.8
=316,297=,University of Lausanne,Switzerland,71.2,52.6,69.4,73.3,36.6,65.8
=316,382=,University of Victoria (UVic),Canada,68.5,60.7,72.8,73.3,31.6,65.8
=319,230  ,Karl-Franzens-Universitaet Graz,Austria,75.6,38,75.3,73.3,32,65.7
=319,364=,King Saud University,Saudi Arabia,66.9,68.8,68.7,68.8,30.6,65.7
=319,297=,UNESP,Brazil,69.9,71.5,55.1,53.8,26.3,65.7
=319,316=,University of Coimbra,Portugal,71.1,49.2,71.3,75.3,43.1,65.7
=319,218=,University of Leicester,United Kingdom,71,46.6,78.5,76.2,44.2,65.7
=319,274=,University of Rochester,United States,67.4,60.7,78.9,76.2,30.1,65.7
=325,401-450,Ateneo de Manila University,Philippines,74.3,64.2,45.3,45.5,27.4,65.6
=325,401-450,Eindhoven University of Technology,Netherlands,65.3,67.2,74.2,71.2,42,65.6
=325,327=,McMaster University,Canada,66.3,64.2,76.6,77.1,29.1,65.6
=325,293=,University of Witwatersrand,South Africa,68.5,56.3,73,75.3,43.3,65.6
=325,208=,Washington University in St. Louis,United States,70.5,48.3,77.7,76.2,41.4,65.6
=330,376=,Manchester Metropolitan University (MMU),United Kingdom,69.1,57.3,75.5,74.3,27.4,65.5
=330,370=,MGIMO University,Russia,68.8,75.7,51.4,51.4,27.4,65.5
=330,280  ,Université Paris-Nanterre,France,76.2,37.7,61.8,64.8,54,65.5
=333,262=,Masaryk University,Czech Republic,72.3,45.1,76.2,66.2,46.8,65.4
=333,320=,The American University in Cairo,Egypt,71.3,74,50.1,53.8,,65.4
=333,256=,Université de Strasbourg,France,74.4,48.3,63.5,64.8,29.3,65.4
=333,359=,University of South Australia,Australia,65.8,58.9,79.9,78.7,44.9,65.4
337,352=,"City, University of London",United Kingdom,66.3,58.7,84.2,78.7,31.6,65.3
=338,347=,Massey University,New Zealand,71.3,50.3,73.7,68.8,33.3,65.2
=338,320=,Tel Aviv University,Israel,71.1,45.2,74.4,82.5,35.4,65.2
=338,359=,Universidade Federal de Minas Gerais      ,Brazil,71.5,62.1,56.1,56.1,29.3,65.2
=338,289=,University of Tartu,Estonia,72,47.3,64.9,71.2,45.7,65.2
=342,302=,Hong Kong Baptist University,Hong Kong SAR,75.4,37.3,76.1,76.2,17.7,65
=342,451-500,Tianjin University,China (Mainland),67.8,61.3,72.4,68.8,29.2,65
=342,341=,Universidad Autónoma Metropolitana (UAM),Mexico,72.9,65.6,44.1,45.5,27.4,65
=342,302=,University of Colorado Boulder,United States,65.7,55.1,77.9,81,53.2,65
=342,302=,Vanderbilt University,United States,68.6,52.1,79.2,83.1,25.4,65
=347,401-450,Kyushu University,Japan,70.9,65.8,51.8,51.4,30.1,64.9
=347,451-500,University of Jordan,Jordan,67.6,76.2,54.4,53.8,18.7,64.9
=347,320=,University of Kansas,United States,68.9,52.3,80.2,76.2,26.6,64.9
=347,262=,Ural Federal University - UrFU,Russia,69.4,69.8,53.2,45.5,37.9,64.9
=351,278=,Abai Kazakh National Pedagogical University,Kazakhstan,80.3,48,42.3,51.4,,64.8
=351,398=,University of the Philippines,Philippines,72.7,63.3,51.7,48.6,19.5,64.8
=353,339  ,École Normale Supérieure de Lyon,France,71.9,54.9,59,58.1,36.1,64.7
=353,271=,Pontificia Universidad Católica de Valparaíso,Chile,73.8,57.3,54.7,51.4,19.5,64.7
=353,401-450,Xiamen University,China (Mainland),70.3,50.7,75.2,71.2,27.4,64.7
=356,333=,"Kingston University, London",United Kingdom,67.9,63.1,67,63.3,29.8,64.6
=356,310=,La Trobe University,Australia,68.2,53.7,74.1,75.3,35.1,64.6
=356,308=,University of Turku,Finland,70.8,42.4,77.3,77.1,41.7,64.6
=359,330=,Ruhr-Universität Bochum,Germany,70.9,40.6,74.8,75.3,51.1,64.5
=359,341=,Universidad de Antioquia,Colombia,71.9,59.9,55.9,58.1,17.4,64.5
=359,320=,University of Iowa,United States,69.6,46.5,76.1,77.1,38.3,64.5
=362,380=,Aalborg University,Denmark,66.1,55.7,77.2,73.3,45.3,64.4
=362,352=,East China Normal University,China (Mainland),72.8,40.9,73.1,70,37.1,64.4
=364,352=,Florida State University,United States,64.2,59,79.3,83.1,36.9,64.3
=364,337=,Nottingham Trent University,United Kingdom,65.1,55.8,80.2,77.1,46.1,64.3
=364,373=,University of Surrey,United Kingdom,64.1,61.4,77.8,72.3,46.9,64.3
=367,350=,American University,United States,69.2,64.5,65.7,64.8,,64.2
=367,347=,"Lingnan University, Hong Kong",Hong Kong SAR,74,47,62.3,60,25.5,64.2
=367,247=,Universität Konstanz,Germany,73.5,37.4,74.1,67.6,40.2,64.2
=370,401-450,Norwegian University of Science And Technology,Norway,65.8,55.2,74,76.2,45.5,64.1
=370,293=,Université du Québec,Canada,67.6,57.2,70.9,67.6,33.7,64.1
=370,262=,Université Lumière Lyon 2,France,76.6,34.3,59.6,61.7,42.7,64.1
=370,293=,University of Oregon,United States,66.8,54.7,76.9,77.9,30.2,64.1
=370,320=,University of Southern Denmark (SDU),Denmark,69.2,48.1,74.2,71.2,41.7,64.1
=375,401-450,American University of Sharjah,United Arab Emirates,65.4,69.6,64.4,61.7,27.4,64
=375,389  ,Kazan (Volga region) Federal University,Russia,66.8,62.2,59.9,66.2,40.8,64
=375,283=,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,73.5,63.2,51.6,45.5,,64
=375,359=,Université de Toulouse II-Le Mirail,France,73.5,39.7,62.9,64.8,47.9,64
=375,364=,Vilnius University ,Lithuania,70.1,55,60,60,39.5,64
=380,401-450,Bauman Moscow State Technical University,Russia,68.5,86.9,35.1,37.6,,63.9
=380,401-450,Vrije Universiteit Brussel (VUB),Belgium,66,51,79.7,76.2,48.3,63.9
382,376=,Université Laval,Canada,65.5,57.3,76.8,75.3,32.9,63.8
=383,289=,Colegio de México,Mexico,81.3,44.6,42.2,37.6,,63.7
=383,401-450,KTH Royal Institute of Technology ,Sweden,64.4,65,74.5,67.6,27.4,63.7
=383,,RWTH Aachen University,Germany,60.5,68.8,79.6,76.2,38.5,63.7
=383,401-450,Shandong University,China (Mainland),69.2,55.3,66.9,61.7,29.2,63.7
=383,382=,Universidade Federal do Rio Grande Do Sul ,Brazil,70.9,54.4,61.1,64.8,15.8,63.7
=383,359=,"University of California, Riverside",United States,67.5,48.7,75.5,74.3,44.4,63.7
=383,401-450,University of Limerick,Ireland,68,58.1,70.5,68.8,16.1,63.7
=383,,University of Science and Technology of China,China (Mainland),62.9,63.7,81.1,77.1,26.3,63.7
391,341=,University of Pretoria,South Africa,64.7,58.5,66.9,66.2,61.3,63.6
=392,376=,Babes-Bolyai University,Romania,66.1,61.3,60,66.2,41.6,63.5
=392,,Heriot-Watt University,United Kingdom,63.2,60.2,88.2,73.3,27.8,63.5
=392,401-450,Koç University,Turkey,64.7,69.7,66.5,61.7,22.8,63.5
=392,501-520,Sichuan University,China (Mainland),68.9,50.1,67.1,67.6,41.2,63.5
=392,337=,Universidade de Santiago de Compostela,Spain,71.7,48.8,60.8,63.3,28.2,63.5
=392,382=,University of the Basque Country,Spain,66.9,45.4,75.4,82.5,48.2,63.5
=398,451-500,Beijing Foreign Studies University,China (Mainland),77.1,39.2,52.5,56.1,22.6,63.4
=398,388  ,Bilkent University,Turkey,65.5,69.1,61.6,60,22.6,63.4
=398,350=,Universidad Nacional de Córdoba - UNC,Argentina,71.9,56,54.3,51.4,22.6,63.4
=398,451-500,University of Trento,Italy,64.4,53.9,76.3,76.2,50.4,63.4
401-450,401-450,Academy of Sciences of the Czech Republic,Czech Republic,66.1,53.2,63.4,63.3,45,
401-450,307  ,"Adam Mickiewicz University, Poznań",Poland,72,34.9,59.8,70,54,
401-450,401-450,Auckland University of Technology (AUT),New Zealand,65.5,53.6,80.4,71.2,19.3,
401-450,451-500,Carleton University,Canada,62.9,63.6,73.4,74.3,22.9,
401-450,376=,Christian-Albrechts-University zu Kiel,Germany,68.2,35.9,82.7,68.8,56.8,
401-450,394=,Dalhousie University,Canada,64.8,58.3,75.6,72.3,25.5,
401-450,401-450,De La Salle University,Philippines,68.5,61.3,55,51.4,27.4,
401-450,364=,"Essex, University of",United Kingdom,66.1,47.3,78.5,77.9,46.4,
401-450,451-500,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,65.2,52.8,73,72.3,45,
401-450,390=,Georgia State University,United States,64,57,77.2,74.3,23.6,
401-450,451-500,Hacettepe University ,Turkey,64.9,63.6,64.2,61.7,18.7,
401-450,,Indian Institute of Technology Kanpur (IITK),India,60.6,76.5,63.1,58.1,27.4,
401-450,,Indian Institute of Technology Madras (IITM),India,61.8,77.6,66.3,67.6,,
401-450,451-500,Lebanese University,Lebanon,69.5,65.8,47.4,51.4,11.1,
401-450,393  ,Mahidol University,Thailand,67.8,57.2,58.7,60,18.7,
401-450,,Nankai University,China (Mainland),69.5,48,65.9,61.7,25.5,
401-450,,Plekhanov Russian University of Economics,Russia,60.9,74.3,64.6,64.8,39,
401-450,364=,Pontificia Universidad Católica Argentina,Argentina,73.2,64,32.6,37.6,18.7,
401-450,308=,Pratt Institute,United States,80.1,38.7,41.6,48.6,,
401-450,347=,Qatar University,Qatar,67.4,55.6,65.3,66.2,24,
401-450,401-450,Ryerson University,Canada,62.1,65.2,75.2,70,22.8,
401-450,501-520,Shanghai University,China (Mainland),66.6,54.9,69.6,64.8,18.7,
401-450,401-450,Sophia University ,Japan,73.5,56.4,44.4,48.6,,
401-450,401-450,Swinburne University of Technology,Australia,64.7,56.6,74.7,72.3,23.6,
401-450,401-450,Tampere University,Finland,65.8,44.8,80.5,77.9,48.9,
401-450,401-450,Temple University,United States,63.9,50.3,76.9,79.5,44.4,
401-450,,Thammasat University,Thailand,69.9,59.1,52.3,51.4,27.4,
401-450,401-450,The University of Georgia,United States,61.4,60.7,77.5,79.5,27.4,
401-450,401-450,Tilburg University,Netherlands,62.9,54.5,82.6,81.8,37,
401-450,370=,Tomsk State University,Russia,67.2,63.1,57.7,60,25.5,
401-450,401-450,United Arab Emirates University,United Arab Emirates,64.6,66.8,57.4,61.7,27.4,
401-450,398=,Universidad Carlos III de Madrid (UC3M),Spain,66.1,61.4,62.7,60,27.4,
401-450,398=,Universidad de Guadalajara (UDG),Mexico,70.8,58.9,44.4,45.5,27.4,
401-450,451-500,Universidad de La Sabana,Colombia,71.2,64.7,38.9,45.5,18.7,
401-450,401-450,Universidad de los Andes - Chile,Chile,70.9,55.4,48.1,45.5,27.4,
401-450,401-450,Universidad de Zaragoza,Spain,69.9,43.3,63,67.6,39.5,
401-450,501-520,Universidad Nacional Mayor de San Marcos,Peru,70.9,61.7,36.6,41.9,27.4,
401-450,451-500,Universidade Federal de Santa Catarina ,Brazil,66.7,61,59.1,56.1,36.3,
401-450,,Università Commerciale Luigi Bocconi (Bocconi University),Italy,59.2,77.6,73.2,68.8,9.9,
401-450,390=,Università degli Studi di Pavia,Italy,70.6,48.4,65.5,64.8,29.2,
401-450,451-500,Universitat Politècnica de València,Spain,63.5,61.5,69.3,71.2,32.9,
401-450,451-500,Universiti Teknologi MARA - UiTM,Malaysia,69.6,55.8,61,56.1,24,
401-450,380=,University at Buffalo SUNY,United States,67.7,50.5,75,73.3,20.8,
401-450,401-450,University of Belgrade,Serbia,67.4,46.7,61.7,61.7,77.1,
401-450,375  ,University of Bucharest,Romania,66.5,61,57.7,53.8,30.1,
401-450,,University of Macau,Macau SAR,66.7,41.6,81.2,77.1,41.4,
401-450,356=,"University of Rome ""Tor Vergata""",Italy,70.4,50.1,61,60,23.6,
401-450,,University of Tsukuba,Japan,68.9,54,58.8,60,27.4,
401-450,401-450,University of Waikato,New Zealand,65.4,49.5,85.8,70,39.9,
401-450,451-500,Virginia Polytechnic Institute and State University,United States,61.9,61.9,76.3,71.2,39.8,
401-450,332  ,Washington State University,United States,63.1,58,81.7,75.3,31,
401-450,451-500,Xi’an Jiaotong University,China (Mainland),61,57.6,87.7,79.5,49.5,
451-500,401-450,Airlangga University,Indonesia,68.9,65.5,52,45.5,3.5,
451-500,,Ajman University,United Arab Emirates,64.4,84.4,27.5,32.4,27.4,
451-500,,Al Ain University,United Arab Emirates,71.2,61.7,37.3,41.9,9.9,
451-500,,Al-Ahliyya Amman University,Jordan,62.3,85.9,39.5,45.5,,
451-500,,Ankara Üniversitesi,Turkey,67.5,52,54.2,56.1,27.4,
451-500,,Aston University,United Kingdom,60.3,60.7,71.4,68.8,41.2,
451-500,451-500,Australian Catholic University,Australia,65.6,44.2,76.9,72.3,35.2,
451-500,401-450,Bandung Institute of Technology (ITB),Indonesia,69,62.6,47.4,53.8,,
451-500,,Chiang Mai University,Thailand,67.4,57.5,48.6,51.4,27.4,
451-500,382=,European University Institute,Italy,69.8,41.2,66.7,66.2,32.9,
451-500,289=,Fordham University ,United States,67.8,47.6,74.1,66.2,22.6,
451-500,451-500,Hokkaido University,Japan,66.4,65.1,49.3,53.8,26.3,
451-500,,Huazhong University of Science and Technology,China (Mainland),61.8,57.7,80.3,77.9,24,
451-500,,Jilin University,China (Mainland),64.3,57.7,60.3,63.3,36.5,
451-500,394=,Khoja Akhmet Yassawi International Kazakh-Turkish University,Kazakhstan,72.9,57.4,35,45.5,,
451-500,,King Fahd University of Petroleum & Minerals,Saudi Arabia,61.2,73.9,55.9,60,25.5,
451-500,401-450,Maastricht University ,Netherlands,62.2,54.1,79.5,75.3,36.5,
451-500,451-500,Maynooth University,Ireland,65.8,48.8,70,64.8,23.8,
451-500,,National Sun Yat-sen University,Taiwan,66.4,58.6,54.1,58.1,27.4,
451-500,501-520,North Carolina State University,United States,59.9,66.9,77.6,70,23.6,
451-500,401-450,Northumbria University at Newcastle,United Kingdom,66,46.7,77.2,74.3,31.6,
451-500,,Novosibirsk State University,Russia,62.5,69.9,53.2,56.1,21.6,
451-500,451-500,Paul Valéry University Montpellier,France,70.1,41.5,59,58.1,26.6,
451-500,501-520,Pontifícia Universidade Católica de São Paulo,Brazil,67.6,68.1,41.3,45.5,,
451-500,501-520,Southeast University,China (Mainland),67.4,44.7,75.6,70,26.7,
451-500,451-500,"Stony Brook University, State University of New York",United States,64.4,42.7,78.6,80.3,31.8,
451-500,364=,Syracuse University,United States,66.9,45.5,74.5,73.3,27.4,
451-500,394=,Umea University,Sweden,68.2,40.5,73.9,66.2,32.4,
451-500,341=,Universidad Alberto Hurtado,Chile,70.7,48.3,54.9,51.4,25.5,
451-500,401-450,Universidad de Concepción,Chile,65.2,62.2,56.4,56.1,24.6,
451-500,401-450,Universidad de Costa Rica,Costa Rica,73.9,49,38.6,41.9,27.4,
451-500,401-450,Universidade de Brasília,Brazil,69,50.9,57.3,56.1,25.5,
451-500,370=,Universität Innsbruck,Austria,69.7,39.9,70.7,68.8,31.6,
451-500,401-450,Universität Jena,Germany,67.8,40,72.4,70,44.2,
451-500,501-520,Universität Stuttgart,Germany,64.1,55.6,73.8,68.8,27.4,
451-500,,Universiti Utara Malaysia (UUM),Malaysia,65.9,52.7,64,61.7,23.6,
451-500,451-500,University of Brighton,United Kingdom,64.6,52.8,73.2,71.2,27.4,
451-500,451-500,University of Cincinnati,United States,64,44.6,78.8,77.9,31.1,
451-500,451-500,University of Genoa,Italy,65.6,50.5,65.9,67.6,31.6,
451-500,401-450,University of Johannesburg,South Africa,63.2,48.5,71.7,72.3,59.7,
451-500,382=,University of Jyväskylä,Finland,66.4,38.1,77.9,73.3,37.9,
451-500,382=,University of Ljubljana,Slovenia,68.6,41.5,61,67.6,41.8,
451-500,401-450,University of Manitoba,Canada,61.5,66.1,71.2,66.2,26.6,
451-500,401-450,University of Miami,United States,59.3,58.3,78.3,76.2,33.2,
451-500,451-500,University of New England Australia,Australia,61.6,63.3,74.1,66.2,15.4,
451-500,401-450,University of Stirling,United Kingdom,63.4,47,77.4,73.3,44.9,
451-500,501-520,University of Strathclyde,United Kingdom,61,57.4,81.2,77.1,27.8,
451-500,,University of Szeged,Hungary,67.3,56,54.7,58.1,36.5,
451-500,451-500,University of Westminster,United Kingdom,65.2,51.8,68.5,66.2,18.7,
451-500,451-500,University of Wroclaw,Poland,67.8,51.2,57.1,61.7,24,
451-500,451-500,University of Zagreb,Croatia,67.4,41.4,57.1,63.3,54.9,
501-550,,Aberystwyth University,United Kingdom,63.4,53,64.2,61.7,36.3,
501-550,,Beijing Institute of Technology,China (Mainland),60.8,62.5,64.8,66.2,27.4,
501-550,501-520,Coventry University,United Kingdom,60.6,54.9,77.2,72.3,31.4,
501-550,,Dongguk University ,South Korea,69.7,51.7,54.5,53.8,,
501-550,,Doshisha University,Japan,66.5,52.4,65.3,48.6,27.4,
501-550,501-520,Florida International University,United States,59.9,60,71.6,67.6,18.7,
501-550,451-500,Gazi Üniversitesi,Turkey,68.2,50.8,55.8,56.1,14.5,
501-550,,Hitotsubashi University,Japan,67.6,67,35.5,41.9,,
501-550,,Indian Institute of Technology Guwahati (IITG),India,59,70,61.6,61.7,27.4,
501-550,,Institut Polytechnique de Paris,France,52.5,74.5,71.9,68.8,46.1,
501-550,501-520,International Islamic University Malaysia (IIUM),Malaysia,67.6,52.8,56,48.6,25.5,
501-550,,Iowa State University,United States,58.9,59.7,78.6,79.5,19.5,
501-550,401-450,Justus-Liebig-University Giessen,Germany,65.2,38.8,74.6,67.6,43.7,
501-550,,"KIT, Karlsruhe Institute of Technology",Germany,59,63.3,71.6,70,29.3,
501-550,,Kobe University,Japan,65,59.1,52.1,58.1,9.9,
501-550,451-500,Loyola University Chicago,United States,64.8,59.1,65.5,60,,
501-550,401-450,Martin-Luther-Universität Halle-Wittenberg,Germany,67.6,48.8,61.5,60,19.5,
501-550,,National Technical University of Athens,Greece,60.1,62.7,64.8,66.2,25.5,
501-550,,National Yang Ming Chiao Tung University,Taiwan,64.3,62.1,61.6,63.3,,
501-550,,Palacký University Olomouc,Czech Republic,69.9,38.9,60.1,60,31,
501-550,,Pusan National University,South Korea,69.5,53.8,45.9,56.1,,
501-550,,Sunway University,Malaysia,66.1,57.6,47.8,51.4,27.4,
501-550,,Technische Universität Dresden,Germany,59.9,58.2,70.3,67.6,40.5,
501-550,,Technische Universität Wien,Austria,61.6,59.5,61.8,63.3,32.9,
501-550,401-450,The Open University,United Kingdom,63.4,42.2,76.8,77.1,44.4,
501-550,,The University of Alabama,United States,57.9,61.6,77.1,75.3,27.4,
501-550,501-520,Universidad Torcuato Di Tella,Argentina,69.4,66,29.6,32.4,,
501-550,451-500,Universidade Católica Portuguesa - UCP,Portugal,65.9,48,64,58.1,19.5,
501-550,451-500,Universidade Federal Fluminense ,Brazil,65.4,47.8,65.1,63.3,29.2,
501-550,451-500,Universität Bremen,Germany,64.1,35.4,75.6,74.3,61.3,
501-550,,Université de Fribourg,Switzerland,68.5,42.4,68.2,63.3,16.1,
501-550,501-520,Université de Liège,Belgium,63.3,50,73.1,70,32.7,
501-550,451-500,University of Alicante,Spain,65.2,48.9,62.2,66.2,37.9,
501-550,,University of Cyprus (UCY),Cyprus,58.4,58.4,72.7,66.2,55.1,
501-550,,University of Dhaka,Bangladesh,64.1,63.8,44.7,51.4,27.4,
501-550,501-520,University of Haifa,Israel,64.3,43.5,72,79.5,24.3,
501-550,451-500,"University of Missouri, Columbia",United States,60.3,50.6,84.1,78.7,32.9,
501-550,451-500,University of Murcia,Spain,66.2,47.7,62.3,67.6,25.5,
501-550,451-500,University of New Mexico,United States,61.5,49.8,75.8,76.2,36,
501-550,,University of North Texas,United States,62.6,48.4,77.9,77.1,15.8,
501-550,,University of Siena,Italy,67.4,39.3,68.1,67.6,30.2,
501-550,401-450,University of South Carolina,United States,61.3,52.6,79.2,75.3,22.8,
501-550,401-450,University of Tasmania,Australia,64.3,46.2,72.9,67.6,18.1,
501-550,501-520,University of the West of England,United Kingdom,59.1,57,80.4,72.3,23.6,
501-550,451-500,University of Tromsø The Arctic University of Norway,Norway,67.7,29.1,74.7,72.3,45.3,
501-550,,University of Twente,Netherlands,57.6,61.3,78.6,75.3,27.4,
501-550,,Yarmouk University,Jordan,62.8,64.6,48.2,48.6,30.1,
